split,scope,method,base_context_length,layer,workload,observations,qk_reduction,top2048_recall,top128_recall,top512_recall,weighted_recall,teacher_attention_mass_ratio
test,pure_no_h56,global_affine_h8,8192,14,long-text,254,0.875,0.8230595626230315,0.9999077263779528,0.9973548228346457,0.9641240276596595,0.9913035345078064
test,pure_no_h56,global_affine_h8,8192,17,long-code,254,0.875,0.7896411325049213,0.9990157480314961,0.9886580339566929,0.9679742361646202,0.9835432687466724
test,pure_no_h56,global_affine_h8,8192,17,long-text,254,0.875,0.7593561608021654,0.9988312007874016,0.9819220595472441,0.9584233383449193,0.9817612802568687
test,pure_no_h56,global_affine_h8,8192,21,long-code,254,0.875,0.8369025282972441,0.9999692421259843,0.9981468380905512,0.9821323480896379,0.9834611741251985
test,pure_no_h56,global_affine_h8,8192,21,long-text,254,0.875,0.82325179933563,0.9999384842519685,0.9969242125984252,0.9541042806131447,0.9902554303535588
test,pure_no_h56,global_affine_h8,8192,25,long-code,254,0.875,0.8052276851624016,1.0,0.9958246186023622,0.964717948486422,0.9813189592214432
test,pure_no_h56,global_affine_h8,8192,25,long-text,254,0.875,0.7569954939714567,0.9999077263779528,0.9833369217519685,0.948165804155419,0.9824661925247884
test,pure_no_h56,global_affine_h8,16384,2,long-code,254,0.875,0.7176465612696851,0.9835445374015748,0.9436285063976378,0.9388606428137244,0.9853389654289151
test,pure_no_h56,global_affine_h8,16384,2,long-text,254,0.875,0.6822307917076772,0.9765625,0.9132781742125984,0.9086607146310169,0.9744984849767928
test,pure_no_h56,global_affine_h8,16384,5,long-code,254,0.875,0.8275367556594488,0.9998154527559056,0.9966473917322834,0.9463424756459962,0.9767323120394757
test,pure_no_h56,global_affine_h8,16384,5,long-text,254,0.875,0.7798312930610236,0.9960629921259843,0.9796536663385826,0.8938819430492925,0.9819997373278337
test,pure_no_h56,global_affine_h8,16384,8,long-code,254,0.875,0.8392958753690944,0.9999077263779528,0.9979853592519685,0.9517517787877967,0.9587583313829591
