policy,layer,base_context_length,workload,qk_reduction,recall,top128_recall,top512_recall,top2048_recall,index_mass_ratio,newly_hot_miss_rate
dynamic_address_m-0.5,25,16384,long-code,0.5876915592313305,0.95580734292979,0.9976213910761156,0.9900805856299212,0.95580734292979,0.9900160112781446,0.0942328801844336
dynamic_address_m-0.5,25,16384,long-text,0.5634486945962356,0.9540067257217848,0.9905265748031497,0.9816478018372704,0.9540067257217848,0.9875247578972248,0.103363102064915
dynamic_address_m-0.5,25,32768,long-code,0.6657541746509719,0.8454865383038058,0.9695907152230973,0.92604781824147,0.8454865383038058,0.9547413940972442,0.2342057559739912
dynamic_address_m-0.5,25,32768,long-text,0.6114525649607497,0.8404922285104987,0.9603018372703412,0.9151697834645668,0.8404922285104987,0.9523468236302036,0.2342398850079469
dynamic_address_m-1,2,8192,long-code,0.3086196503918023,0.9446563320209974,0.9984416010498688,0.986558809055118,0.9446563320209974,0.996250473796893,0.111266430357958
dynamic_address_m-1,2,8192,long-text,0.2797134879203593,0.9467171095800524,0.999630905511811,0.9893116387795275,0.9467171095800524,0.9972960809700572,0.1093369649104768
dynamic_address_m-1,2,16384,long-code,0.666626058354145,0.8539282931430446,0.9906906167979004,0.9561546505905512,0.8539282931430446,0.9809052283264637,0.2695149493093722
dynamic_address_m-1,2,16384,long-text,0.6189404537436896,0.8682922203083989,0.98533874671916,0.9492956446850394,0.8682922203083989,0.9755812922332432,0.2362547900039522
dynamic_address_m-1,2,32768,long-code,0.8247623689982939,0.777465499917979,0.9593791010498688,0.9026154445538058,0.777465499917979,0.9464884828015964,0.3575726328493216
dynamic_address_m-1,2,32768,long-text,0.8074848383262732,0.7843834584153543,0.9563443241469816,0.8956436597769029,0.7843834584153543,0.93889844447024,0.3372273462170331
dynamic_address_m-1,5,8192,long-code,0.4048661800486618,0.9557163508858268,0.999876968503937,0.9976367700131232,0.9557163508858268,0.998173380237458,0.1336783195898922
dynamic_address_m-1,5,8192,long-text,0.2865440464666021,0.9602697978182416,0.9996104002624672,0.995119750656168,0.9602697978182416,0.9975009688819952,0.1066094258032711
dynamic_address_m-1,5,16384,long-code,0.7090333576820063,0.8997024175688977,0.99561187664042,0.9817349491469816,0.8997024175688977,0.9814012123274608,0.2327630682697969
dynamic_address_m-1,5,16384,long-text,0.6488586692569208,0.8980107344980315,0.994750656167979,0.97728531003937,0.8980107344980315,0.9770028723263596,0.2155627836587093
dynamic_address_m-1,5,32768,long-code,0.8317506695885074,0.8043696686351706,0.9674581692913384,0.9223261154855644,0.8043696686351706,0.9406716594832034,0.3308852297291834
dynamic_address_m-1,5,32768,long-text,0.8054116643305503,0.7906311515748031,0.9631725721784776,0.9129552165354332,0.7906311515748031,0.9338506435671716,0.3460071076615256
dynamic_address_m-1,8,8192,long-code,0.3405490385778208,0.943729751066273,0.9998974737532808,0.9957912975721784,0.943729751066273,0.9977272900279782,0.1434939630136828
dynamic_address_m-1,8,8192,long-text,0.2241816644522285,0.9550319881889764,0.9997129265091864,0.994643003608924,0.9550319881889764,0.997111449885626,0.1078568895933487
dynamic_address_m-1,8,16384,long-code,0.7435975424295882,0.9141291420603674,0.996596128608924,0.9856565780839897,0.9141291420603674,0.9814903208071846,0.2029271477294317
dynamic_address_m-1,8,16384,long-text,0.7225931771275951,0.9002945066437008,0.9922285104986877,0.9776185203412072,0.9002945066437008,0.9743205110957298,0.2239086524504235
