policy_role,verifier,step,layer,prompt_id,workload,base_context_length,context_length,output_cosine,output_relative_l2,output_max_abs,output_norm_ratio,preprojection_cosine,preprojection_relative_l2,per_head_relative_l2_mean,per_head_relative_l2_worst,attention_js,attention_kl_eps1e8,net_qk_reduction,physical_key_byte_reduction,top128_recall,top512_recall,top2048_recall,tail_critical_block_recall
Aggressive,dim_had_random_w32_b64_r0.1,5,8,code_heldout_3,long-code,32768,32774,0.9999994039535522,0.0011075733928009868,0.0009765625,1.0000019073486328,1.0,0.00033235803130082786,0.0002941365528386086,0.0011231068056076765,1.668129516474437e-05,0.0002419750380795449,0.3890889119423933,0.3881574188291911,1.0,1.0,0.9873046875,0.75
Aggressive,head_dynamic_abs_w16_b64_r0.05,5,8,code_heldout_3,long-code,32768,32774,1.0,0.0001361328613711521,0.000244140625,0.9999993443489075,1.0000001192092896,1.8564593119663186e-05,1.0368988114350941e-05,0.00010394335549790412,7.53598044411774e-07,1.6898517060326412e-05,0.3983645572710075,-0.0294839067068712,1.0,1.0,0.9951171875,0.75
Aggressive,head_dynamic_abs_w16_b64_r0.1,5,8,code_heldout_3,long-code,32768,32774,1.0,0.0,0.0,1.0,1.0000001192092896,0.0,0.0,0.0,0.0,1.0093341188621707e-05,0.3749313480197718,-0.0587236727887428,1.0,1.0,1.0,0.75
Aggressive,head_dynamic_abs_w8_b64_r0.05,5,8,code_heldout_3,long-code,32768,32774,0.9999986886978149,0.001645485870540142,0.0009765625,0.9999168515205383,0.9999997019767761,0.0007757166167721152,0.00042727950494736433,0.003737079445272684,4.086621629539877e-06,2.7033074729843065e-05,0.4764752547751266,-0.0294839067068712,1.0,1.0,0.99072265625,0.25
Aggressive,head_dynamic_abs_w8_b64_r0.1,5,8,code_heldout_3,long-code,32768,32774,1.0,0.0003219211648683995,0.0009765625,0.9999930262565613,1.0000001192092896,3.9225804357556626e-05,2.588010102044791e-05,0.00022956792963668704,3.410780209378572e-07,1.168516155303223e-05,0.4488924147189845,-0.0587236727887428,1.0,1.0,0.99560546875,0.5
Balanced,dim_had_even_w16_b64_r0.05,5,8,code_heldout_3,long-code,32768,32774,0.9999973773956299,0.002343282103538513,0.0009765625,1.0000561475753784,0.9999992847442627,0.0012403471628203988,0.0010944314999505877,0.005498375743627548,7.263763109222054e-05,0.0009486298076808453,0.5340818941844145,0.5328942609344542,1.0,1.0,0.9677734375,0.25
Balanced,dim_had_even_w16_b64_r0.1,5,8,code_heldout_3,long-code,32768,32774,0.9999973177909851,0.0023488604929298162,0.001953125,1.000143051147461,0.9999993443489075,0.001218008459545672,0.000999337644316256,0.005513115786015987,6.65479528834112e-05,0.0009273201576434076,0.4991761762372613,0.4980502063535574,1.0,1.0,0.97021484375,0.25
Balanced,dim_had_random_w32_b64_r0.05,5,8,code_heldout_3,long-code,32768,32774,0.9999982714653015,0.0018437951803207397,0.0009765625,0.9998900294303894,0.9999996423721313,0.0009232874726876616,0.000833599828183651,0.003742098342627287,4.69153601443395e-05,0.0005081235431134701,0.447183743211082,0.4461496215582359,1.0,1.0,0.9755859375,0.25
Balanced,dim_had_random_w32_b64_r0.1,5,8,code_heldout_3,long-code,32768,32774,0.9999989867210388,0.0013994479086250067,0.0009765625,1.0000107288360596,0.9999999403953552,0.0005316262831911445,0.0004552252357825637,0.0014144624583423138,2.404460246907547e-05,0.0003187267284374684,0.4115457374748276,0.4105745728252924,1.0,1.0,0.98046875,0.5
Balanced,head_dynamic_abs_w16_b64_r0.05,5,8,code_heldout_3,long-code,32768,32774,0.999997615814209,0.002221100265160203,0.0009765625,1.0001380443572998,0.999999463558197,0.0010834032436832786,0.0008288675453513861,0.004540567751973867,1.0825791832758114e-05,0.00015416194219142199,0.4359553304448648,-0.0314332244456627,1.0,1.0,0.99072265625,0.5
Balanced,head_dynamic_abs_w16_b64_r0.1,5,8,code_heldout_3,long-code,32768,32774,0.9999998807907104,0.0003485491033643484,0.0009765625,0.9999869465827942,1.0,3.319315146654844e-05,1.434799560229294e-05,0.00022956792963668704,5.139303382861726e-08,1.0256614586978685e-05,0.4032464758650149,-0.0626223082663255,1.0,1.0,0.99853515625,0.5
Balanced,head_dynamic_abs_w8_b64_r0.05,5,8,code_heldout_3,long-code,32768,32774,0.9999986290931702,0.0016888658283278346,0.0009765625,0.9998670816421509,0.9999997019767761,0.0008026661816984415,0.0005337907932698727,0.003737079445272684,8.786701982899103e-06,6.980010948609561e-05,0.5152865075974857,-0.0333825421844542,1.0,1.0,0.986328125,0.25
Balanced,head_dynamic_abs_w8_b64_r0.1,5,8,code_heldout_3,long-code,32768,32774,0.999999463558197,0.0010140752419829369,0.0009765625,1.0000077486038208,1.0,0.00027788037550635636,0.00010082648077514023,0.0008592436788603663,1.0566209311946295e-06,1.424595666321693e-05,0.4842863245255385,-0.0626223082663255,1.0,1.0,0.9921875,0.25
